GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ootp-ai,com.ljs.ootp.ai.value,PlayerValue,248,0,18,0,45,0,22,0,12,0
ootp-ai,com.ljs.ootp.ai.value,ReplacementValue.new Function() {...},60,0,8,0,6,0,6,0,2,0
ootp-ai,com.ljs.ootp.ai.value,ReplacementValue.new Object() {...},68,0,0,0,1,0,1,0,1,0
ootp-ai,com.ljs.ootp.ai.value,FreeAgentAcquisition.ChangeFreeAgent,11,0,0,0,4,0,2,0,2,0
ootp-ai,com.ljs.ootp.ai.value,PlayerValue.new Function() {...},11,0,0,0,2,0,2,0,2,0
ootp-ai,com.ljs.ootp.ai.value,PlayerValue.new Object() {...},61,0,0,0,1,0,1,0,1,0
ootp-ai,com.ljs.ootp.ai.value,PlayerValue.new Function() {...},11,0,0,0,2,0,2,0,2,0
ootp-ai,com.ljs.ootp.ai.value,PlayerValue.new Function() {...},11,0,0,0,2,0,2,0,2,0
ootp-ai,com.ljs.ootp.ai.value,PlayerValue.new Function() {...},11,0,0,0,2,0,2,0,2,0
ootp-ai,com.ljs.ootp.ai.value,TradeValue.new Function() {...},21,0,0,0,2,0,2,0,2,0
ootp-ai,com.ljs.ootp.ai.value,TradeValue.new Function() {...},110,0,14,0,23,0,10,0,2,0
ootp-ai,com.ljs.ootp.ai.value,TradeValue.new Function() {...},11,0,0,0,2,0,2,0,2,0
ootp-ai,com.ljs.ootp.ai.value,TradeValue.new Function() {...},11,0,0,0,2,0,2,0,2,0
ootp-ai,com.ljs.ootp.ai.value,TradeValue.new Function() {...},11,0,0,0,2,0,2,0,2,0
ootp-ai,com.ljs.ootp.ai.value,TradeValue.new Function() {...},12,0,0,0,2,0,2,0,2,0
ootp-ai,com.ljs.ootp.ai.value,TradeValue.new Function() {...},12,0,0,0,2,0,2,0,2,0
ootp-ai,com.ljs.ootp.ai.value,TradeValue.new Function() {...},12,0,0,0,2,0,2,0,2,0
ootp-ai,com.ljs.ootp.ai.value,TradeValue.new Function() {...},12,0,0,0,2,0,2,0,2,0
ootp-ai,com.ljs.ootp.ai.value,FreeAgentAcquisition.new Supplier() {...},34,0,0,0,6,0,2,0,2,0
ootp-ai,com.ljs.ootp.ai.value,ReplacementValue,168,0,13,0,36,0,11,0,4,0
